Facility,Day,Date,Time,Activity,Month,Temp,Rain,Sun,People
City,Tuesday,01,14,Gym,Jan,3.6,0,0,4
City,Tuesday,01,14,Gym,Jan,3.6,0,0,4
City,Tuesday,01,14,Gym,Jan,3.6,0,0,4
City,Tuesday,01,14,Gym,Jan,3.6,0,0,4
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,BiljettGym - City,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,15,Gym,Jan,3.5,0,0,50
City,Tuesday,01,16,Gym,Jan,3.3,0,0,13
City,Tuesday,01,16,Gym,Jan,3.3,0,0,13
City,Tuesday,01,16,Gym,Jan,3.3,0,0,13
City,Tuesday,01,16,Gym,Jan,3.3,0,0,13
City,Tuesday,01,16,Gym,Jan,3.3,0,0,13
City,Tuesday,01,16,BiljettGym - City,Jan,3.3,0,0,13
City,Tuesday,01,16,Gym,Jan,3.3,0,0,13
City,Tuesday,01,16,Gym,Jan,3.3,0,0,13
City,Tuesday,01,16,BiljettGym - City,Jan,3.3,0,0,13
City,Tuesday,01,16,Gym,Jan,3.3,0,0,13
City,Tuesday,01,16,BiljettGym - City,Jan,3.3,0,0,13
City,Tuesday,01,16,Gym,Jan,3.3,0,0,13
City,Tuesday,01,16,BiljettGym - City,Jan,3.3,0,0,13
City,Tuesday,01,17,Gym,Jan,3.6,0,0,11
City,Tuesday,01,17,Gym,Jan,3.6,0,0,11
City,Tuesday,01,17,Gym,Jan,3.6,0,0,11
City,Tuesday,01,17,Gym,Jan,3.6,0,0,11
City,Tuesday,01,17,Gym,Jan,3.6,0,0,11
City,Tuesday,01,17,Gym,Jan,3.6,0,0,11
City,Tuesday,01,17,Gym,Jan,3.6,0,0,11
City,Tuesday,01,17,Gym,Jan,3.6,0,0,11
City,Tuesday,01,17,Gym,Jan,3.6,0,0,11
City,Tuesday,01,17,Gym,Jan,3.6,0,0,11
City,Tuesday,01,17,Gym,Jan,3.6,0,0,11
City,Tuesday,01,18,Gym,Jan,4.5,0,0,6
City,Tuesday,01,18,Gym,Jan,4.5,0,0,6
City,Tuesday,01,18,Gym,Jan,4.5,0,0,6
City,Tuesday,01,18,Gym,Jan,4.5,0,0,6
City,Tuesday,01,18,Gym,Jan,4.5,0,0,6
City,Tuesday,01,18,Gym,Jan,4.5,0,0,6
City,Wednesday,02,05,Gym,Jan,-0.6,0,0,1
City,Wednesday,02,06,Gym,Jan,-0.9,0,0,9
City,Wednesday,02,06,Gym,Jan,-0.9,0,0,9
City,Wednesday,02,06,Gym,Jan,-0.9,0,0,9
City,Wednesday,02,06,Gym,Jan,-0.9,0,0,9
City,Wednesday,02,06,Gym,Jan,-0.9,0,0,9
City,Wednesday,02,06,Gym,Jan,-0.9,0,0,9
City,Wednesday,02,06,Gym,Jan,-0.9,0,0,9
City,Wednesday,02,06,Gym,Jan,-0.9,0,0,9
City,Wednesday,02,06,Gym,Jan,-0.9,0,0,9
City,Wednesday,02,07,Gym,Jan,-1.1,0,0,9
City,Wednesday,02,07,Gym,Jan,-1.1,0,0,9
City,Wednesday,02,07,Gym,Jan,-1.1,0,0,9
City,Wednesday,02,07,Gym,Jan,-1.1,0,0,9
City,Wednesday,02,07,Gym,Jan,-1.1,0,0,9
City,Wednesday,02,07,Gym,Jan,-1.1,0,0,9
City,Wednesday,02,07,Gym,Jan,-1.1,0,0,9
City,Wednesday,02,07,Gym,Jan,-1.1,0,0,9
City,Wednesday,02,07,BiljettGym - City,Jan,-1.1,0,0,9
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,Gym,Jan,-1.6,0,0,19
City,Wednesday,02,08,BiljettGym - City,Jan,-1.6,0,0,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,BiljettGym - City,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,09,Gym,Jan,-1.7,0,2730,19
City,Wednesday,02,10,Gym,Jan,-1.3,0,3600,14
City,Wednesday,02,10,Gym,Jan,-1.3,0,3600,14
City,Wednesday,02,10,Gym,Jan,-1.3,0,3600,14
City,Wednesday,02,10,Gym,Jan,-1.3,0,3600,14
City,Wednesday,02,10,Gym,Jan,-1.3,0,3600,14
City,Wednesday,02,10,BiljettGym - City,Jan,-1.3,0,3600,14
City,Wednesday,02,10,Gym,Jan,-1.3,0,3600,14
City,Wednesday,02,10,Gym,Jan,-1.3,0,3600,14
City,Wednesday,02,10,Gym,Jan,-1.3,0,3600,14
City,Wednesday,02,10,Gym,Jan,-1.3,0,3600,14
City,Wednesday,02,10,Gym,Jan,-1.3,0,3600,14
City,Wednesday,02,10,Gym,Jan,-1.3,0,3600,14
City,Wednesday,02,10,BiljettGym - City,Jan,-1.3,0,3600,14
City,Wednesday,02,10,Gym,Jan,-1.3,0,3600,14
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,BiljettGym - City,Jan,-1,0,3600,26
City,Wednesday,02,11,BiljettGym - City,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,BiljettGym - City,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,11,Gym,Jan,-1,0,3600,26
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,BiljettGym - City,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,BiljettGym - City,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,BiljettGym - City,Jan,-0.7,0,3600,23
City,Wednesday,02,12,BiljettGym - City,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,BiljettGym - City,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,12,Gym,Jan,-0.7,0,3600,23
City,Wednesday,02,13,Gym,Jan,-0.8,0,3600,18
City,Wednesday,02,13,BiljettGym - City,Jan,-0.8,0,3600,18
City,Wednesday,02,13,BiljettGym - City,Jan,-0.8,0,3600,18
City,Wednesday,02,13,BiljettGym - City,Jan,-0.8,0,3600,18
City,Wednesday,02,13,Gym,Jan,-0.8,0,3600,18
City,Wednesday,02,13,Gym,Jan,-0.8,0,3600,18
City,Wednesday,02,13,Gym,Jan,-0.8,0,3600,18
City,Wednesday,02,13,Gym,Jan,-0.8,0,3600,18
City,Wednesday,02,13,Gym,Jan,-0.8,0,3600,18
City,Wednesday,02,13,Gym,Jan,-0.8,0,3600,18
City,Wednesday,02,13,Gym,Jan,-0.8,0,3600,18
City,Wednesday,02,13,Gym,Jan,-0.8,0,3600,18
City,Wednesday,02,13,Gym,Jan,-0.8,0,3600,18
City,Wednesday,02,13,Gym,Jan,-0.8,0,3600,18
City,Wednesday,02,13,Gym,Jan,-0.8,0,3600,18
City,Wednesday,02,13,Gym,Jan,-0.8,0,3600,18
City,Wednesday,02,13,Gym,Jan,-0.8,0,3600,18
City,Wednesday,02,13,Gym,Jan,-0.8,0,3600,18
City,Wednesday,02,14,Gym,Jan,-1.1,0,3218,18
City,Wednesday,02,14,Gym,Jan,-1.1,0,3218,18
City,Wednesday,02,14,Gym,Jan,-1.1,0,3218,18
City,Wednesday,02,14,Gym,Jan,-1.1,0,3218,18
City,Wednesday,02,14,Gym,Jan,-1.1,0,3218,18
City,Wednesday,02,14,Gym,Jan,-1.1,0,3218,18
City,Wednesday,02,14,Gym,Jan,-1.1,0,3218,18
City,Wednesday,02,14,Gym,Jan,-1.1,0,3218,18
City,Wednesday,02,14,Gym,Jan,-1.1,0,3218,18
City,Wednesday,02,14,BiljettGym - City,Jan,-1.1,0,3218,18
City,Wednesday,02,14,Gym,Jan,-1.1,0,3218,18
City,Wednesday,02,14,Gym,Jan,-1.1,0,3218,18
City,Wednesday,02,14,Gym,Jan,-1.1,0,3218,18
